"","country","year","gdpPerCapita","lifeExpectancy","continent"
"580","Latvia","2003",8900,70.9,"Europe"
"581","Lebanon","2003",5550,76.1,"Asia"
"582","Lesotho","2003",890,45.6,"Africa"
"583","Liberia","2003",424,55.1,"Africa"
"584","Libya","2003",9400,73.8,"Africa"
"585","Lithuania","2003",8920,72.2,"Europe"
"586","Luxembourg","2003",97700,78.7,"Europe"
"587","Madagascar","2003",456,60,"Africa"
"588","Malawi","2003",373,46,"Africa"
"589","Malaysia","2003",7370,73.4,"Asia"
"590","Maldives","2003",6270,74.5,"Asia"
"591","Mali","2003",658,55.3,"Africa"
"592","Malta","2003",19100,79.1,"Europe"
"593","Marshall Islands","2003",2790,62,"Oceania"
"594","Mauritania","2003",1460,64.9,"Africa"
"595","Mauritius","2003",6160,72.7,"Africa"
"596","Mexico","2003",8970,75,"North America"
"597","Moldova","2003",1780,69.2,"Europe"
"598","Mongolia","2003",1790,63.2,"Asia"
"599","Montenegro","2003",5160,74.3,"Europe"
"600","Morocco","2003",2240,70.3,"Africa"
"601","Mozambique","2003",347,50.6,"Africa"
"602","Namibia","2003",4230,52.6,"Africa"
"603","Nepal","2003",474,67.3,"Asia"
"604","Netherlands","2003",46800,78.6,"Europe"
"605","New Zealand","2003",31800,78.9,"Oceania"
"606","Nicaragua","2003",1320,75.2,"North America"
"607","Niger","2003",441,54,"Africa"
"608","Nigeria","2003",1680,56,"Africa"
"609","Norway","2003",83900,79.5,"Europe"
"610","Oman","2003",17400,74.1,"Asia"
"611","Pakistan","2003",856,62.4,"Asia"
"612","Panama","2003",5560,77.8,"North America"
"613","Papua New Guinea","2003",1570,55.7,"Oceania"
"614","Paraguay","2003",3490,74.7,"South America"
"615","Peru","2003",3460,75.9,"South America"
"616","Philippines","2003",1760,69.1,"Asia"
"617","Poland","2003",9140,74.9,"Europe"
"618","Portugal","2003",21500,77.6,"Europe"
"619","Qatar","2003",61100,76.1,"Asia"
"620","Romania","2003",5800,71.4,"Europe"
"621","Rwanda","2003",410,53.8,"Africa"
"622","Samoa","2003",3270,72.1,"Oceania"
"623","Sao Tome and Principe","2003",886,65.8,"Africa"
"624","Saudi Arabia","2003",18000,74.7,"Asia"
"625","Senegal","2003",1160,62.3,"Africa"
"626","Serbia","2003",4200,72.4,"Europe"
"627","Seychelles","2003",8930,72.1,"Africa"
"628","Sierra Leone","2003",345,51.8,"Africa"
"629","Singapore","2003",35600,80.6,"Asia"
"630","Slovenia","2003",20300,76.5,"Europe"
"631","Solomon Islands","2003",1100,61.1,"Oceania"
"632","South Africa","2003",6270,52.8,"Africa"
"633","South Sudan","2003",NA,55.8,"Africa"
"634","Spain","2003",30000,79.6,"Europe"
"635","Sri Lanka","2003",1930,73.7,"Asia"
"636","Sudan","2003",1120,64.3,"Africa"
"637","Suriname","2003",6290,69.5,"South America"
"638","Sweden","2003",47200,80.3,"Europe"
"639","Switzerland","2003",67400,80.9,"Europe"
"640","Tajikistan","2003",532,68.9,"Asia"
"641","Tanzania","2003",583,55.4,"Africa"
"642","Thailand","2003",3970,73.6,"Asia"
"643","Togo","2003",577,56.7,"Africa"
"644","Tonga","2003",3530,70.7,"Oceania"
"645","Trinidad and Tobago","2003",12400,71.1,"North America"
"646","Tunisia","2003",3230,75.2,"Africa"
"647","Turkey","2003",8330,75.9,"Asia"
"648","Turkmenistan","2003",2500,66.9,"Asia"
"649","Uganda","2003",609,51.5,"Africa"
"650","Ukraine","2003",2350,68.3,"Europe"
"651","United Arab Emirates","2003",60400,72,"Asia"
"652","United Kingdom","2003",38300,78.5,"Europe"
"653","Uruguay","2003",8040,74.9,"South America"
"654","Uzbekistan","2003",1070,67,"Asia"
"655","Vanuatu","2003",2520,63.3,"Oceania"
"656","Venezuela","2003",9830,73.5,"South America"
"657","Vietnam","2003",897,72.1,"Asia"
"658","Yemen","2003",1200,64.8,"Asia"
"659","Zambia","2003",1030,47.6,"Africa"
"660","Zimbabwe","2003",1100,45.4,"Africa"
"661","Afghanistan","2004",333,56.9,"Asia"
"662","Albania","2004",2890,75.6,"Europe"
"663","Algeria","2004",4110,75,"Africa"
"664","Andorra","2004",46000,81.7,"Europe"
"665","Angola","2004",2600,54.8,"Africa"
"666","Antigua and Barbuda","2004",13400,75.6,"North America"
"667","Argentina","2004",7960,74.9,"South America"
"668","Armenia","2004",2240,73.2,"Europe"
"669","Australia","2004",47900,80.8,"Oceania"
"670","Austria","2004",44000,79.4,"Europe"
"671","Azerbaijan","2004",2330,67.4,"Europe"
"672","Bahamas","2004",31000,72.9,"North America"
"673","Bahrain","2004",22100,74.4,"Asia"
"674","Bangladesh","2004",588,67.3,"Asia"
"675","Barbados","2004",15700,75.5,"North America"
"676","Belarus","2004",3780,68.8,"Europe"
"677","Belgium","2004",41900,79,"Europe"
"678","Belize","2004",4340,71.8,"North America"
"679","Benin","2004",1000,58.8,"Africa"
"680","Bhutan","2004",1420,68.8,"Asia"
"681","Bolivia","2004",1660,68.5,"South America"
"682","Bosnia and Herzegovina","2004",3650,76.2,"Europe"
"683","Botswana","2004",5540,51.6,"Africa"
"684","Brazil","2004",9350,72.6,"South America"
"685","Brunei","2004",36800,74.5,"Asia"
"686","Bulgaria","2004",5190,72.5,"Europe"
"687","Burundi","2004",226,48.7,"Africa"
"688","Cambodia","2004",550,62.9,"Asia"
"689","Cameroon","2004",1250,54.6,"Africa"
"690","Canada","2004",42800,80.1,"North America"
"691","Cape Verde","2004",2570,72.3,"Africa"
"692","Central African Republic","2004",422,44.9,"Africa"
"693","Chad","2004",737,53,"Africa"
"694","Chile","2004",10700,77.5,"South America"
"695","China","2004",2470,73.7,"Asia"
"696","Colombia","2004",5230,75.6,"South America"
"697","Comoros","2004",1280,64.1,"Africa"
"698","Costa Rica","2004",6730,78.5,"North America"
"699","Croatia","2004",13000,75.5,"Europe"
"700","Cuba","2004",3960,77.7,"North America"
"701","Cyprus","2004",29600,77.6,"Europe"
"702","Denmark","2004",57600,77.8,"Europe"
"703","Djibouti","2004",NA,61.1,"Africa"
"704","Dominica","2004",5880,74,"North America"
"705","Dominican Republic","2004",4140,73.1,"North America"
"706","Ecuador","2004",4110,74.2,"South America"
"707","Egypt","2004",2090,68.6,"Africa"
"708","El Salvador","2004",2740,72.5,"North America"
"709","Equatorial Guinea","2004",14400,59.9,"Africa"
"710","Eritrea","2004",592,55.6,"Africa"
"711","Estonia","2004",13400,72.5,"Europe"
"712","Ethiopia","2004",215,55.7,"Africa"
"713","Fiji","2004",3680,67,"Oceania"
"714","Finland","2004",44300,78.8,"Europe"
"715","France","2004",39800,80.2,"Europe"
"716","Gabon","2004",9680,58.9,"Africa"
"717","Gambia","2004",859,62.3,"Africa"
"718","Georgia","2004",2200,72.9,"Europe"
"719","Germany","2004",38500,79.4,"Europe"
"720","Ghana","2004",1040,59.8,"Africa"
"721","Greece","2004",27600,79.1,"Europe"
"722","Grenada","2004",6830,74,"North America"
"723","Guatemala","2004",2640,69.7,"North America"
"724","Guinea","2004",639,55.7,"Africa"
"725","Guinea-Bissau","2004",526,53.2,"Africa"
"726","Guyana","2004",2510,66.8,"South America"
"727","Haiti","2004",676,58.8,"North America"
"728","Honduras","2004",1720,71.4,"North America"
"729","Hungary","2004",12600,72.9,"Europe"
"730","Iceland","2004",41700,81.2,"Europe"
"731","India","2004",979,65.2,"Asia"
"732","Indonesia","2004",2420,66.5,"Asia"
"733","Iran","2004",5620,74.2,"Asia"
"734","Iraq","2004",3790,69,"Asia"
"735","Ireland","2004",50500,78.5,"Europe"
"736","Israel","2004",27000,79.8,"Asia"
"737","Italy","2004",37200,80.7,"Europe"
"738","Jamaica","2004",4930,76.5,"North America"
"739","Japan","2004",43700,82.3,"Asia"
"740","Jordan","2004",3280,74.4,"Asia"
"741","Kazakhstan","2004",6650,65.3,"Asia"
"742","Kenya","2004",830,56.4,"Africa"
"743","Kiribati","2004",1650,59.9,"Oceania"
"744","Kuwait","2004",44800,79.3,"Asia"
"745","Latvia","2004",9740,71.2,"Europe"
"746","Lebanon","2004",5690,76.3,"Asia"
"747","Lesotho","2004",910,44.8,"Africa"
"748","Liberia","2004",427,58,"Africa"
"749","Libya","2004",9660,73.9,"Africa"
"750","Lithuania","2004",9620,72.1,"Europe"
"751","Luxembourg","2004",99800,79,"Europe"
"752","Madagascar","2004",466,60.2,"Africa"
"753","Malawi","2004",383,46.7,"Africa"
"754","Malaysia","2004",7720,73.7,"Asia"
"755","Maldives","2004",6470,73.8,"Asia"
"756","Mali","2004",648,56,"Africa"
"757","Malta","2004",19000,79.2,"Europe"
"758","Marshall Islands","2004",2760,62.1,"Oceania"
"759","Mauritania","2004",1490,65.3,"Africa"
"760","Mauritius","2004",6390,73,"Africa"
"761","Mexico","2004",9190,75.4,"North America"
"762","Moldova","2004",1910,69.1,"Europe"
"763","Mongolia","2004",1960,63.5,"Asia"
"764","Montenegro","2004",5380,74.4,"Europe"
"765","Morocco","2004",2320,70.5,"Africa"
"766","Mozambique","2004",364,50.6,"Africa"
"767","Namibia","2004",4680,52.4,"Africa"
"768","Nepal","2004",490,67.5,"Asia"
"769","Netherlands","2004",47600,79.1,"Europe"
"770","New Zealand","2004",32600,79.3,"Oceania"
"771","Nicaragua","2004",1370,75.5,"North America"
"772","Niger","2004",427,54.9,"Africa"
"773","Nigeria","2004",1790,56.5,"Africa"
"774","Norway","2004",86800,79.8,"Europe"
"775","Oman","2004",17200,74.5,"Asia"
"776","Pakistan","2004",900,62.6,"Asia"
"777","Panama","2004",5870,78,"North America"
"778","Papua New Guinea","2004",1580,55.6,"Oceania"
"779","Paraguay","2004",3570,74.1,"South America"
"780","Peru","2004",3600,76.3,"South America"
"781","Philippines","2004",1840,69.2,"Asia"
"782","Poland","2004",9610,75,"Europe"
"783","Portugal","2004",21900,78.3,"Europe"
"784","Qatar","2004",65900,76.6,"Asia"
"785","Romania","2004",6440,71.9,"Europe"
"786","Rwanda","2004",434,55.4,"Africa"
"787","Samoa","2004",3400,72.2,"Oceania"
"788","Sao Tome and Principe","2004",901,66,"Africa"
"789","Saudi Arabia","2004",18900,74.8,"Asia"
"790","Senegal","2004",1200,62.8,"Africa"
"791","Serbia","2004",4580,72.6,"Europe"
"792","Seychelles","2004",8710,72.1,"Africa"
"793","Sierra Leone","2004",352,52.1,"Africa"
"794","Singapore","2004",38600,80.9,"Asia"
"795","Slovenia","2004",21200,77,"Europe"
"796","Solomon Islands","2004",1130,61,"Oceania"
"797","South Africa","2004",6470,52.3,"Africa"
"798","South Sudan","2004",NA,56.3,"Africa"
"799","Spain","2004",30400,80.2,"Europe"
"800","Sri Lanka","2004",2020,69.3,"Asia"
"801","Sudan","2004",1130,64.3,"Africa"
"802","Suriname","2004",6750,69.6,"South America"
"803","Sweden","2004",49100,80.2,"Europe"
"804","Switzerland","2004",68800,81.3,"Europe"
"805","Tajikistan","2004",576,69.2,"Asia"
"806","Tanzania","2004",610,56.1,"Africa"
"807","Thailand","2004",4190,73.8,"Asia"
"808","Togo","2004",557,56.9,"Africa"
"809","Tonga","2004",3500,70.7,"Oceania"
"810","Trinidad and Tobago","2004",13400,71.5,"North America"
"811","Tunisia","2004",3400,75.5,"Africa"
"812","Turkey","2004",9010,76.5,"Asia"
"813","Turkmenistan","2004",2590,66.5,"Asia"
"814","Uganda","2004",630,52.5,"Africa"
"815","Ukraine","2004",2660,68,"Europe"
"816","United Arab Emirates","2004",60300,72,"Asia"
"817","United Kingdom","2004",39000,79,"Europe"
"818","Uruguay","2004",8450,75.1,"South America"
"819","Uzbekistan","2004",1130,66.8,"Asia"
"820","Vanuatu","2004",2560,63.4,"Oceania"
"821","Venezuela","2004",11400,74.7,"South America"
"822","Vietnam","2004",955,72.3,"Asia"
"823","Yemen","2004",1210,65.3,"Asia"
"824","Zambia","2004",1080,48.4,"Africa"
"825","Zimbabwe","2004",1030,45.1,"Africa"
"826","Afghanistan","2005",357,57.4,"Asia"
"827","Albania","2005",3060,76,"Europe"
"828","Algeria","2005",4290,75.3,"Africa"
"829","Andorra","2005",46900,81.8,"Europe"
"830","Angola","2005",2880,55.7,"Africa"
"831","Antigua and Barbuda","2005",14100,75.8,"North America"
"832","Argentina","2005",8580,75.3,"South America"
"833","Armenia","2005",2570,73.4,"Europe"
"834","Australia","2005",48800,81.2,"Oceania"
"835","Austria","2005",44600,79.6,"Europe"
"836","Azerbaijan","2005",2950,67.5,"Europe"
"837","Bahamas","2005",31400,73.4,"North America"
"838","Bahrain","2005",22100,75.1,"Asia"
"839","Bangladesh","2005",618,67.6,"Asia"
"840","Barbados","2005",16200,75.5,"North America"
"841","Belarus","2005",4160,68.6,"Europe"
"842","Belgium","2005",42600,79.2,"Europe"
"843","Belize","2005",4310,72.3,"North America"
"844","Benin","2005",989,59.2,"Africa"
"845","Bhutan","2005",1500,69.3,"Asia"
"846","Bolivia","2005",1700,69,"South America"
"847","Bosnia and Herzegovina","2005",3970,75.9,"Europe"
"848","Botswana","2005",5690,52.7,"Africa"
"849","Brazil","2005",9540,73.1,"South America"
"850","Brunei","2005",36300,74.7,"Asia"
"851","Bulgaria","2005",5610,72.6,"Europe"
"852","Burundi","2005",221,49.7,"Africa"
"853","Cambodia","2005",613,63.7,"Asia"
"854","Cameroon","2005",1240,54.9,"Africa"
"855","Canada","2005",44500,80.2,"North America"
"856","Cape Verde","2005",2710,72.5,"Africa"
"857","Central African Republic","2005",418,45.2,"Africa"
"858","Chad","2005",834,53.6,"Africa"
"859","Chile","2005",11200,77.9,"South America"
"860","China","2005",2730,74.2,"Asia"
"861","Colombia","2005",5400,76.4,"South America"
"862","Comoros","2005",1290,64.5,"Africa"
"863","Costa Rica","2005",6890,79.3,"North America"
"864","Croatia","2005",13500,75.5,"Europe"
"865","Cuba","2005",4390,77.6,"North America"
"866","Cyprus","2005",30600,77.9,"Europe"
"867","Denmark","2005",58800,78.3,"Europe"
"868","Djibouti","2005",NA,61.6,"Africa"
"869","Dominica","2005",5900,74.1,"North America"
"870","Dominican Republic","2005",4470,73.2,"North America"
"871","Ecuador","2005",4260,74,"South America"
"872","Egypt","2005",2150,68.8,"Africa"
"873","El Salvador","2005",2800,72.4,"North America"
"874","Equatorial Guinea","2005",16100,60.2,"Africa"
"875","Eritrea","2005",585,56,"Africa"
"876","Estonia","2005",14800,72.9,"Europe"
"877","Ethiopia","2005",234,56.8,"Africa"
"878","Fiji","2005",3690,67,"Oceania"
"879","Finland","2005",45400,79.1,"Europe"
"880","France","2005",40200,80.4,"Europe"
"881","Gabon","2005",9680,59.5,"Africa"
"882","Gambia","2005",813,62.4,"Africa"
"883","Georgia","2005",2430,73.4,"Europe"
"884","Germany","2005",38800,79.7,"Europe"
"885","Ghana","2005",1080,60,"Africa"
"886","Greece","2005",27700,79.3,"Europe"
"887","Grenada","2005",7710,74.5,"North America"
"888","Guatemala","2005",2670,69.5,"North America"
"889","Guinea","2005",645,55.9,"Africa"
"890","Guinea-Bissau","2005",535,53.2,"Africa"
"891","Guyana","2005",2460,66.6,"South America"
"892","Haiti","2005",677,59.8,"North America"
"893","Honduras","2005",1780,71.7,"North America"
"894","Hungary","2005",13100,72.9,"Europe"
"895","Iceland","2005",43600,81.4,"Europe"
"896","India","2005",1040,65.5,"Asia"
"897","Indonesia","2005",2520,68.5,"Asia"
"898","Iran","2005",5740,74.3,"Asia"
"899","Iraq","2005",3870,69.5,"Asia"
"900","Ireland","2005",52300,79,"Europe"
"901","Israel","2005",27500,80.1,"Asia"
"902","Italy","2005",37300,80.9,"Europe"
"903","Jamaica","2005",4940,77.2,"North America"
"904","Japan","2005",44400,82.3,"Asia"
"905","Jordan","2005",3430,74.6,"Asia"
"906","Kazakhstan","2005",7230,65.3,"Asia"
"907","Kenya","2005",855,56.9,"Africa"
"908","Kiribati","2005",1700,60.1,"Oceania"
"909","Kuwait","2005",48000,79.2,"Asia"
"910","Latvia","2005",10900,70.8,"Europe"
"911","Lebanon","2005",5680,76.4,"Asia"
"912","Lesotho","2005",946,44.4,"Africa"
"913","Liberia","2005",438,58.7,"Africa"
"914","Libya","2005",10600,74,"Africa"
"915","Lithuania","2005",10500,71.4,"Europe"
"916","Luxembourg","2005",101000,79.4,"Europe"
"917","Madagascar","2005",474,60.7,"Africa"
"918","Malawi","2005",385,47.5,"Africa"
"919","Malaysia","2005",7970,74,"Asia"
"920","Maldives","2005",5470,75.6,"Asia"
"921","Mali","2005",668,56.7,"Africa"
"922","Malta","2005",19600,79.3,"Europe"
"923","Marshall Islands","2005",2790,62.1,"Oceania"
"924","Mauritania","2005",1570,65.7,"Africa"
"925","Mauritius","2005",6460,72.9,"Africa"
"926","Mexico","2005",9270,75.3,"North America"
"927","Moldova","2005",2060,68.7,"Europe"
"928","Mongolia","2005",2080,63.9,"Asia"
"929","Montenegro","2005",5600,74.5,"Europe"
"930","Morocco","2005",2360,70.8,"Africa"
"931","Mozambique","2005",377,50.6,"Africa"
"932","Namibia","2005",4720,52.6,"Africa"
"933","Nepal","2005",500,68,"Asia"
"934","Netherlands","2005",48400,79.5,"Europe"
"935","New Zealand","2005",33300,79.7,"Oceania"
"936","Nicaragua","2005",1410,75.6,"North America"
"937","Niger","2005",440,55.7,"Africa"
"938","Nigeria","2005",1860,57.3,"Africa"
"939","Norway","2005",88400,80.1,"Europe"
"940","Oman","2005",17200,74.9,"Asia"
"941","Pakistan","2005",937,61.8,"Asia"
"942","Panama","2005",6170,78,"North America"
"943","Papua New Guinea","2005",1650,55.6,"Oceania"
"944","Paraguay","2005",3590,74.4,"South America"
"945","Peru","2005",3800,76.8,"South America"
"946","Philippines","2005",1890,69.1,"Asia"
"947","Poland","2005",9950,75.2,"Europe"
"948","Portugal","2005",22000,78.8,"Europe"
"949","Qatar","2005",61600,76.6,"Asia"
"950","Romania","2005",6780,72.2,"Europe"
"951","Rwanda","2005",467,57,"Africa"
"952","Samoa","2005",3520,72.2,"Oceania"
"953","Sao Tome and Principe","2005",942,66.1,"Africa"
"954","Saudi Arabia","2005",19400,74.7,"Asia"
"955","Senegal","2005",1240,63.4,"Africa"
"956","Serbia","2005",4850,72.7,"Europe"
"957","Seychelles","2005",9450,72.4,"Africa"
"958","Sierra Leone","2005",354,52.6,"Africa"
"959","Singapore","2005",40500,81.1,"Asia"
"960","Slovenia","2005",21900,77.7,"Europe"
"961","Solomon Islands","2005",1160,61,"Oceania"
"962","South Africa","2005",6730,52,"Africa"
"963","South Sudan","2005",NA,56.7,"Africa"
"964","Spain","2005",31000,80.5,"Europe"
"965","Sri Lanka","2005",2130,73.8,"Asia"
"966","Sudan","2005",1180,65.7,"Africa"
"967","Suriname","2005",6970,69.9,"South America"
"968","Sweden","2005",50300,80.6,"Europe"
"969","Switzerland","2005",70500,81.5,"Europe"
"970","Tajikistan","2005",603,69.2,"Asia"
"971","Tanzania","2005",637,56.7,"Africa"
"972","Thailand","2005",4340,74.8,"Asia"
"973","Togo","2005",517,56.9,"Africa"
"974","Tonga","2005",3530,70.8,"Oceania"
"975","Trinidad and Tobago","2005",14100,71.9,"North America"
"976","Tunisia","2005",3490,75.8,"Africa"
"977","Turkey","2005",9690,76.7,"Asia"
"978","Turkmenistan","2005",2900,66.1,"Asia"
"979","Uganda","2005",649,53.8,"Africa"
"980","Ukraine","2005",2760,67.8,"Europe"
"981","United Arab Emirates","2005",56100,72.5,"Asia"
"982","United Kingdom","2005",40000,79.3,"Europe"
"983","Uruguay","2005",9080,75.5,"South America"
"984","Uzbekistan","2005",1200,66.8,"Asia"
"985","Vanuatu","2005",2630,63.4,"Oceania"
"986","Venezuela","2005",12400,75.2,"South America"
"987","Vietnam","2005",1020,72.5,"Asia"
"988","Yemen","2005",1240,65.9,"Asia"
"989","Zambia","2005",1130,49.3,"Africa"
"990","Zimbabwe","2005",971,45.1,"Africa"
"991","Afghanistan","2006",365,57.6,"Asia"
"992","Albania","2006",3260,76.4,"Europe"
"993","Algeria","2006",4300,75.5,"Africa"
"994","Andorra","2006",47800,82,"Europe"
"995","Angola","2006",3100,56.4,"Africa"
"996","Antigua and Barbuda","2006",15700,76,"North America"
"997","Argentina","2006",9170,75.4,"South America"
"998","Armenia","2006",2930,73.6,"Europe"
"999","Australia","2006",49400,81.4,"Oceania"
"1000","Austria","2006",46000,80.1,"Europe"
"1001","Azerbaijan","2006",3920,68,"Europe"
"1002","Bahamas","2006",31600,73,"North America"
"1003","Bahrain","2006",21800,75.7,"Asia"
"1004","Bangladesh","2006",650,67.9,"Asia"
"1005","Barbados","2006",17100,75.8,"North America"
"1006","Belarus","2006",4610,69.3,"Europe"
"1007","Belgium","2006",43400,79.6,"Europe"
"1008","Belize","2006",4400,72.6,"North America"
"1009","Benin","2006",999,59.6,"Africa"
"1010","Bhutan","2006",1590,69.8,"Asia"
"1011","Bolivia","2006",1750,69.4,"South America"
"1012","Bosnia and Herzegovina","2006",4180,76,"Europe"
"1013","Botswana","2006",6040,54.2,"Africa"
"1014","Brazil","2006",9810,73.5,"South America"
"1015","Brunei","2006",37400,74.8,"Asia"
"1016","Bulgaria","2006",6030,72.7,"Europe"
"1017","Burundi","2006",226,53.8,"Africa"
"1018","Cambodia","2006",669,64.5,"Asia"
"1019","Cameroon","2006",1250,55.3,"Africa"
"1020","Canada","2006",45900,80.6,"North America"
"1021","Cape Verde","2006",2880,72.9,"Africa"
"1022","Central African Republic","2006",429,45.6,"Africa"
"1023","Chad","2006",810,53.7,"Africa"
"1024","Chile","2006",11800,78.2,"South America"
"1025","China","2006",3060,74.9,"Asia"
"1026","Colombia","2006",5690,76.6,"South America"
"1027","Comoros","2006",1290,64.8,"Africa"
"1028","Costa Rica","2006",7290,79.2,"North America"
"1029","Croatia","2006",14200,75.8,"Europe"
"1030","Cuba","2006",4920,78.3,"North America"
"1031","Cyprus","2006",31500,78.4,"Europe"
"1032","Denmark","2006",60900,78.3,"Europe"
"1033","Djibouti","2006",NA,61.5,"Africa"
"1034","Dominica","2006",6160,74.1,"North America"
"1035","Dominican Republic","2006",4820,73.2,"North America"
"1036","Ecuador","2006",4370,74.1,"South America"
"1037","Egypt","2006",2250,68.9,"Africa"
"1038","El Salvador","2006",2910,72.9,"North America"
"1039","Equatorial Guinea","2006",16600,61,"Africa"
"1040","Eritrea","2006",561,56.6,"Africa"
"1041","Estonia","2006",16300,73.1,"Europe"
"1042","Ethiopia","2006",252,57.9,"Africa"
"1043","Fiji","2006",3730,67,"Oceania"
"1044","Finland","2006",47000,79.5,"Europe"
"1045","France","2006",40900,80.7,"Europe"
"1046","Gabon","2006",9140,59.9,"Africa"
"1047","Gambia","2006",784,62.6,"Africa"
"1048","Georgia","2006",2670,73.7,"Europe"
"1049","Germany","2006",40400,79.9,"Europe"
"1050","Ghana","2006",1120,60.2,"Africa"
"1051","Greece","2006",29200,79.6,"Europe"
"1052","Grenada","2006",7380,74.5,"North America"
"1053","Guatemala","2006",2760,69.9,"North America"
"1054","Guinea","2006",639,56.1,"Africa"
"1055","Guinea-Bissau","2006",535,53.9,"Africa"
"1056","Guyana","2006",2590,67.2,"South America"
"1057","Haiti","2006",681,60.2,"North America"
"1058","Honduras","2006",1850,71.9,"North America"
"1059","Hungary","2006",13700,73.3,"Europe"
"1060","Iceland","2006",44900,81.7,"Europe"
"1061","India","2006",1110,65.8,"Asia"
"1062","Indonesia","2006",2630,68.7,"Asia"
"1063","Iran","2006",5950,74.5,"Asia"
"1064","Iraq","2006",4180,68.7,"Asia"
"1065","Ireland","2006",53500,79.3,"Europe"
"1066","Israel","2006",28600,80.3,"Asia"
"1067","Italy","2006",37900,81.2,"Europe"
"1068","Jamaica","2006",5060,77.3,"North America"
"1069","Japan","2006",45000,82.6,"Asia"
"1070","Jordan","2006",3570,75,"Asia"
"1071","Kazakhstan","2006",7920,65.5,"Asia"
"1072","Kenya","2006",886,57.6,"Africa"
"1073","Kiribati","2006",1660,60.3,"Oceania"
"1074","Kuwait","2006",49300,79.2,"Asia"
"1075","Latvia","2006",12300,70.3,"Europe"
"1076","Lebanon","2006",5690,76.2,"Asia"
"1077","Lesotho","2006",990,44.2,"Africa"
"1078","Liberia","2006",458,59.4,"Africa"
"1079","Libya","2006",11200,74.5,"Africa"
"1080","Lithuania","2006",11500,71,"Europe"
"1081","Luxembourg","2006",105000,79.7,"Europe"
"1082","Madagascar","2006",485,61.1,"Africa"
"1083","Malawi","2006",393,48.5,"Africa"
"1084","Malaysia","2006",8260,74.3,"Asia"
"1085","Maldives","2006",6730,76.2,"Asia"
"1086","Mali","2006",676,57.2,"Africa"
"1087","Malta","2006",19900,79.5,"Europe"
"1088","Marshall Islands","2006",2780,62.2,"Oceania"
"1089","Mauritania","2006",1800,66.4,"Africa"
"1090","Mauritius","2006",6750,73,"Africa"
"1091","Mexico","2006",9550,75.7,"North America"
"1092","Moldova","2006",2170,68.9,"Europe"
"1093","Mongolia","2006",2230,64.4,"Asia"
"1094","Montenegro","2006",6070,74.7,"Europe"
"1095","Morocco","2006",2510,71.1,"Africa"
"1096","Mozambique","2006",402,50.6,"Africa"
"1097","Namibia","2006",4970,53.3,"Africa"
"1098","Nepal","2006",511,68.3,"Asia"
"1099","Netherlands","2006",50000,79.8,"Europe"
"1100","New Zealand","2006",33900,79.9,"Oceania"
"1101","Nicaragua","2006",1450,76.3,"North America"
"1102","Niger","2006",449,56.5,"Africa"
"1103","Nigeria","2006",1920,57.9,"Africa"
"1104","Norway","2006",89800,80.4,"Europe"
"1105","Oman","2006",17600,75.1,"Asia"
"1106","Pakistan","2006",970,63.1,"Asia"
"1107","Panama","2006",6590,78,"North America"
"1108","Papua New Guinea","2006",1700,55.6,"Oceania"
"1109","Paraguay","2006",3700,74.3,"South America"
"1110","Peru","2006",4050,77.4,"South America"
"1111","Philippines","2006",1960,69,"Asia"
"1112","Poland","2006",10600,75.3,"Europe"
"1113","Portugal","2006",22300,79.1,"Europe"
"1114","Qatar","2006",65800,76.9,"Asia"
"1115","Romania","2006",7370,72.7,"Europe"
"1116","Rwanda","2006",498,58.7,"Africa"
"1117","Samoa","2006",3570,72.4,"Oceania"
"1118","Sao Tome and Principe","2006",1000,66.8,"Africa"
"1119","Saudi Arabia","2006",19400,74.7,"Asia"
"1120","Senegal","2006",1240,63.9,"Africa"
"1121","Serbia","2006",5120,73.2,"Europe"
"1122","Seychelles","2006",10100,72.7,"Africa"
"1123","Sierra Leone","2006",357,53,"Africa"
"1124","Singapore","2006",42800,81.5,"Asia"
"1125","Slovenia","2006",23100,78,"Europe"
"1126","Solomon Islands","2006",1210,61.1,"Oceania"
"1127","South Africa","2006",7020,52,"Africa"
"1128","South Sudan","2006",NA,56.5,"Africa"
"1129","Spain","2006",31800,80.9,"Europe"
"1130","Sri Lanka","2006",2280,74.2,"Asia"
"1131","Sudan","2006",1260,66.1,"Africa"
"1132","Suriname","2006",7290,70.2,"South America"
"1133","Sweden","2006",52300,80.8,"Europe"
"1134","Switzerland","2006",72800,81.7,"Europe"
"1135","Tajikistan","2006",633,69.3,"Asia"
"1136","Tanzania","2006",660,57.4,"Africa"
"1137","Thailand","2006",4530,75.4,"Asia"
"1138","Togo","2006",517,57.5,"Africa"
"1139","Tonga","2006",3470,70.8,"Oceania"
"1140","Trinidad and Tobago","2006",15900,72.6,"North America"
"1141","Tunisia","2006",3640,76.1,"Africa"
"1142","Turkey","2006",10300,77,"Asia"
"1143","Turkmenistan","2006",3180,66.3,"Asia"
"1144","Uganda","2006",696,54.9,"Africa"
"1145","Ukraine","2006",2980,68.5,"Europe"
"1146","United Arab Emirates","2006",53300,72.6,"Asia"
"1147","United Kingdom","2006",40800,79.4,"Europe"
"1148","Uruguay","2006",9440,76,"South America"
"1149","Uzbekistan","2006",1270,67.3,"Asia"
"1150","Vanuatu","2006",2780,63.5,"Oceania"
